"ID","Forest","NonForest"
9867,60.03,20.97
9868,36.09,44.91
9869,76.5,4.50000000000001
9870,48.06,32.94
9871,21.33,59.67
9872,41.22,39.78
9873,39.33,41.67
9874,56.16,24.84
9875,58.32,22.68
9876,51.48,29.52
9877,24.75,56.25
9878,67.14,13.86
9879,79.2,1.8
9880,80.19,0.810000000000002
9881,80.1,0.900000000000006
9882,79.83,1.17000000000002
9883,79.38,1.62
9884,79.38,1.62
9885,76.23,4.77000000000001
9886,78.75,2.25
9887,68.04,12.96
9888,37.35,43.65
9889,30.42,50.58
9890,27.09,53.91
9891,26.1,54.9
9892,29.25,51.75
9893,32.49,48.51
9894,72.63,8.36999999999999
9895,76.05,4.95
9896,80.64,0.360000000000014
9897,80.1,0.900000000000006
9898,80.19,0.810000000000002
9899,77.94,3.05999999999999
9900,39.42,41.58
9901,69.48,11.52
9902,27,54
9903,44.73,36.27
9904,75.42,5.57999999999998
9905,69.93,11.07
9906,34.29,46.71
9907,73.17,7.83
9908,80.46,0.539999999999992
9909,72.09,8.91
9910,79.56,1.44
9911,80.73,0.269999999999996
9912,44.1,36.9
9913,76.77,4.23
9914,80.19,0.809999999999988
9915,80.19,0.809999999999988
9916,81,0
9917,80.19,0.809999999999988
9918,80.55,0.450000000000003
9919,80.19,0.809999999999988
9920,78.39,2.61
9921,80.1,0.900000000000006
9922,77.76,3.23999999999999
9923,78.39,2.61
9924,74.88,6.11999999999999
9925,78.57,2.42999999999999
9926,80.1,0.900000000000006
9927,34.83,46.17
10326,18.72,62.28
10327,6.93,74.07
10332,0,81
10333,7.92,73.08
10334,34.83,46.17
10335,5.04,75.96
10336,0,81
10337,0,81
10338,2.52,78.48
10339,53.91,27.09
10340,22.14,58.86
10341,4.68,76.32
10342,18,63
10343,0,81
10344,0,81
10345,0,81
10346,0,81
10347,0,81
10348,3.15,77.85
10349,14.49,66.51
10350,5.67,75.33
10351,45.18,35.82
10352,9,72
10377,18,63
10378,64.89,16.11
10379,70.38,10.62
10380,78.84,2.16
10381,78.03,2.97
10382,58.23,22.77
10383,60.48,20.52
10384,60.3,20.7
10385,76.86,4.14
10386,78.48,2.52000000000001
10387,79.83,1.17000000000002
10388,80.46,0.540000000000006
10389,70.74,10.26
10390,79.38,1.62
10391,77.94,3.06
10392,67.05,13.95
10393,17.1,63.9
10394,7.38,73.62
10395,62.73,18.27
10396,38.52,42.48
10397,26.46,54.54
10398,22.05,58.95
10399,52.38,28.62
10400,21.06,59.94
10401,0,81
10402,0,81
10403,0,81
10404,0,81
10405,0,81
10406,33.93,47.07
10407,8.91,72.09
10408,4.41,76.59
10409,0,81
10410,0,81
10411,48.78,32.22
10412,24.3,56.7
10413,9,72
10414,12.78,68.22
10479,45.27,35.73
10480,41.31,39.69
10481,43.65,37.35
10482,50.58,30.42
10483,33.48,47.52
10484,44.28,36.72
10485,60.12,20.88
10486,66.51,14.49
10487,50.58,30.42
10488,69.57,11.43
10489,74.61,6.39
10490,58.5,22.5
10491,43.29,37.71
10492,71.01,9.98999999999999
10493,58.5,22.5
10494,41.85,39.15
10495,31.86,49.14
10496,66.6,14.4
10497,59.67,21.33
10498,75.69,5.31
10499,57.24,23.76
10500,42.39,38.61
10501,60.75,20.25
10502,79.2,1.80000000000001
10503,79.47,1.53
10504,80.1,0.900000000000006
10505,79.29,1.71000000000001
10506,79.56,1.44
10507,79.38,1.62
10508,79.02,1.98
10509,78.57,2.42999999999999
10510,75.33,5.67
10511,67.77,13.23
10512,66.6,14.4
10513,54.45,26.55
10514,55.26,25.74
10515,40.05,40.95
10516,49.95,31.05
10517,71.64,9.36
10518,75.42,5.58
10519,80.55,0.450000000000003
10520,80.19,0.810000000000002
10521,80.73,0.269999999999996
10522,76.86,4.14
10523,47.88,33.12
10524,65.52,15.48
10525,43.74,37.26
10526,0,81
10527,44.37,36.63
10528,54.45,26.55
10529,44.64,36.36
10530,78.21,2.79000000000001
10531,80.46,0.539999999999992
10532,76.95,4.05
10533,57.78,23.22
10534,71.28,9.72
10535,69.03,11.97
10536,71.19,9.81
10537,80.46,0.539999999999992
10538,80.37,0.629999999999995
10539,80.19,0.810000000000002
10540,79.83,1.16999999999999
10541,79.47,1.52999999999999
10542,80.1,0.899999999999991
10543,78.84,2.15999999999998
10544,79.29,1.70999999999999
10545,77.94,3.06
10546,79.47,1.52999999999999
10547,67.77,13.23
10548,76.23,4.77
10549,69.75,11.25
10550,14.04,66.96
10948,9,72
10949,12.6,68.4
10950,22.95,58.05
10951,56.61,24.39
10952,40.68,40.32
10953,21.78,59.22
10954,26.01,54.99
10955,51.12,29.88
10956,54.99,26.01
10957,9,72
10958,0,81
10959,0,81
10960,0,81
10961,51.93,29.07
10962,17.82,63.18
10963,0,81
10964,0,81
10965,13.95,67.05
10966,10.89,70.11
10967,0,81
10968,0,81
10969,0,81
10970,0,81
10971,0,81
10972,0,81
10973,0,81
10974,9,72
10975,11.97,69.03
10976,3.33,77.67
10997,6.84,74.16
10999,8.82,72.18
11000,46.26,34.74
11001,73.08,7.92000000000002
11002,76.77,4.23
11003,52.02,28.98
11004,79.2,1.80000000000001
11005,31.77,49.23
11006,55.26,25.74
11007,56.25,24.75
11008,55.89,25.11
11009,71.91,9.09
11010,79.65,1.35000000000001
11011,80.1,0.900000000000006
11012,80.1,0.900000000000006
11013,76.77,4.23
11014,79.92,1.08
11015,33.21,47.79
11016,0,81
11017,5.04,75.96
11018,56.34,24.66
11019,61.74,19.26
11020,17.82,63.18
11021,64.08,16.92
11022,26.64,54.36
11023,50.4,30.6
11024,21.69,59.31
11025,19.53,61.47
11026,28.71,52.29
11027,0,81
11028,0,81
11029,0,81
11030,0,81
11031,0,81
11032,0,81
11033,14.13,66.87
11034,61.65,19.35
11035,43.83,37.17
11036,13.23,67.77
11037,24.57,56.43
11102,63.81,17.19
11103,26.73,54.27
11104,53.46,27.54
11105,71.37,9.63000000000001
11106,46.44,34.56
11107,15.21,65.79
11108,23.58,57.42
11109,19.53,61.47
11110,38.88,42.12
11111,59.85,21.15
11112,59.76,21.24
11113,67.95,13.05
11114,45,36
11115,68.13,12.87
11116,76.5,4.50000000000001
11117,50.67,30.33
11118,49.86,31.14
11119,49.77,31.23
11120,49.86,31.14
11121,65.43,15.57
11122,65.52,15.48
11123,48.87,32.13
11124,76.77,4.23
11125,79.2,1.80000000000001
11126,79.83,1.17
11127,80.01,0.990000000000009
11128,79.47,1.53
11129,80.1,0.900000000000006
11130,79.38,1.62
11131,78.93,2.06999999999999
11132,78.93,2.06999999999999
11133,78.66,2.33999999999999
11134,77.94,3.06
11135,47.25,33.75
11136,51.21,29.79
11137,66.96,14.04
11138,59.31,21.69
11139,66.15,14.85
11140,75.78,5.22
11141,73.17,7.83
11142,75.06,5.94
11143,81,0
11144,80.82,0.180000000000007
11145,73.35,7.64999999999999
11146,61.2,19.8
11147,51.66,29.34
11148,25.38,55.62
11149,8.91,72.09
11150,9.9,71.1
11151,38.16,42.84
11152,63.99,17.01
11153,79.02,1.97999999999999
11154,72.9,8.09999999999999
11155,76.59,4.41
11156,75.42,5.58
11157,61.56,19.44
11158,16.2,64.8
11159,39.06,41.94
11160,66.51,14.49
11161,79.11,1.89
11162,80.19,0.809999999999988
11163,79.92,1.08
11164,79.56,1.43999999999998
11165,80.19,0.809999999999988
11166,78.75,2.24999999999999
11167,78.21,2.79000000000001
11168,75.6,5.39999999999999
11169,78.39,2.61
11170,77.85,3.15000000000001
11171,75.6,5.39999999999999
11172,79.92,1.08
11173,0,81
11571,30.06,50.94
11572,3.42,77.58
11573,0,81
11574,25.65,55.35
11575,78.57,2.42999999999999
11576,78.12,2.88
11577,28.53,52.47
11578,25.29,55.71
11579,46.35,34.65
11580,22.59,58.41
11581,0,81
11582,0,81
11583,0,81
11584,22.95,58.05
11585,52.02,28.98
11586,5.04,75.96
11587,0,81
11588,0,81
11589,0,81
11590,0,81
11591,0,81
11592,0,81
11593,0,81
11594,0,81
11595,0,81
11596,0,81
11597,0,81
11598,0,81
11599,9,72
11600,26.37,54.63
11619,8.55,72.45
11620,68.85,12.15
11621,61.02,19.98
11622,53.01,27.99
11623,78.39,2.61
11624,76.41,4.59
11625,53.01,27.99
11626,23.85,57.15
11627,78.3,2.69999999999999
11628,52.92,28.08
11629,61.83,19.17
11630,71.28,9.72
11631,77.31,3.69000000000001
11632,78.84,2.16000000000001
11633,78.93,2.07000000000001
11634,80.37,0.63000000000001
11635,79.65,1.34999999999999
11636,52.02,28.98
11637,59.04,21.96
11638,45.72,35.28
11639,24.75,56.25
11640,0,81
11641,26.91,54.09
11642,50.13,30.87
11643,0,81
11644,35.82,45.18
11645,64.53,16.47
11646,24.75,56.25
11647,27.63,53.37
11648,71.55,9.44999999999999
11649,54.09,26.91
11650,31.77,49.23
11651,0,81
11652,0,81
11653,0,81
11654,41.04,39.96
11655,29.52,51.48
11656,0,81
11657,32.13,48.87
11658,0,81
11659,11.97,69.03
11660,3.96,77.04
11724,51.39,29.61
11725,61.83,19.17
11726,40.32,40.68
11727,32.31,48.69
11728,51.84,29.16
11729,29.7,51.3
11730,34.65,46.35
11731,8.55,72.45
11732,25.56,55.44
11733,31.32,49.68
11734,63.18,17.82
11735,34.74,46.26
11736,45.81,35.19
11737,53.19,27.81
11738,73.08,7.92
11739,73.89,7.11
11740,47.61,33.39
11741,29.25,51.75
11742,35.73,45.27
11743,55.98,25.02
11744,68.13,12.87
11745,77.4,3.60000000000001
11746,77.4,3.59999999999999
11747,79.56,1.44
11748,79.38,1.62
11749,79.83,1.17000000000002
11750,79.74,1.25999999999999
11751,79.74,1.26000000000002
11752,80.1,0.899999999999991
11753,79.38,1.62
11754,79.56,1.44
11755,78.93,2.07000000000001
11756,79.11,1.89000000000001
11757,70.02,10.98
11758,43.65,37.35
11759,72.09,8.91000000000001
11760,71.37,9.63
11761,64.98,16.02
11762,72.18,8.82000000000001
11763,77.13,3.87
11764,79.38,1.61999999999999
11765,80.64,0.359999999999999
11766,80.55,0.449999999999989
11767,80.19,0.809999999999988
11768,80.46,0.539999999999992
11769,43.2,37.8
11770,9,72
11771,0,81
11772,8.91,72.09
11773,17.1,63.9
11774,8.73,72.27
11775,49.5,31.5
11776,56.61,24.39
11777,64.71,16.29
11778,59.58,21.42
11779,67.14,13.86
11780,8.73,72.27
11781,10.26,70.74
11782,21.6,59.4
11783,27,54
